column_name,row_count,value
DIS_CHL_DSC,16629.000000000000000000,AUTOSERVICIO
DIS_CHL_DSC,12021.000000000000000000,BIG BEC SOCI
DIS_CHL_DSC,10637.000000000000000000,Export
DIS_CHL_DSC,8928.000000000000000000,UTT NOCTURNA
DIS_CHL_DSC,7769.000000000000000000,INSTITUCIONA
DIS_CHL_DSC,1360.000000000000000000,HOGAR VAN MA
DIS_CHL_DSC,1068.000000000000000000,DISTRIBUIDOR
DIS_CHL_DSC,736.000000000000000000,Others
DIS_CHL_DSC,660.000000000000000000,DETALLE VESP
DIS_CHL_DSC,650.000000000000000000,Intercompany
DIS_CHL_DSC,451.000000000000000000,Empleado
DIS_CHL_DSC,212.000000000000000000,DEPOSITOS
DIS_CHL_DSC,188.000000000000000000,UTT DIURNO V
CUS_CHL_ARE_DSC,940374.000000000000000000,REGION IV
CUS_CHL_ARE_DSC,882329.000000000000000000,REGION III
CUS_CHL_ARE_DSC,806818.000000000000000000,VDM
CUS_CHL_ARE_DSC,686513.000000000000000000,REGION I-II
CUS_CHL_ARE_DSC,640714.000000000000000000,REGION V EDP
CUS_CHL_ARE_DSC,574273.000000000000000000,REGION V BNF
CUS_CHL_ARE_DSC,541068.000000000000000000,Occidente
CUS_CHL_ARE_DSC,455152.000000000000000000,REGION VI
CUS_CHL_ARE_DSC,435076.000000000000000000,
CUS_CHL_ARE_DSC,386958.000000000000000000,Golfo
CUS_CHL_ARE_DSC,296347.000000000000000000,Norte
CUS_CHL_ARE_DSC,117414.000000000000000000,AFH Away From Home
CUS_CHL_ARE_DSC,89725.000000000000000000,TDC
CUS_CHL_ARE_DSC,55808.000000000000000000,Distribuidores
CUS_CHL_ARE_DSC,35891.000000000000000000,NACIONALES
CUS_CHL_ARE_DSC,31624.000000000000000000,AFH B To C / Traditional
